symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2018-06-27 00:00:00+00:00,49.84,50.53,49.84,50.52,14576867,45.2743277596,45.9011192153,45.2743277596,45.8920352812,14576867,0.0,1.0
SBUX,2018-06-28 00:00:00+00:00,48.54,49.48,47.37,49.45,33210109,44.0934163212,44.9473061305,43.0305960267,44.9200543281,33210109,0.0,1.0
SBUX,2018-06-29 00:00:00+00:00,48.85,49.26,48.08,48.08,17413010,44.3750182796,44.7474595794,43.6755553508,43.6755553508,17413010,0.0,1.0
SBUX,2018-07-02 00:00:00+00:00,49.06,49.1,48.55,48.64,9870932,44.5657808966,44.6021166332,44.1025002554,44.1842556627,9870932,0.0,1.0
SBUX,2018-07-03 00:00:00+00:00,48.77,49.3,48.76,49.15,7517541,44.3023468065,44.783795316,44.2932628724,44.6475363039,7517541,0.0,1.0
SBUX,2018-07-05 00:00:00+00:00,48.61,49.03,48.4,48.92,9630476,44.1570038602,44.5385290942,43.9662412433,44.4386058186,9630476,0.0,1.0
SBUX,2018-07-06 00:00:00+00:00,48.98,49.19,48.58,48.9,10711984,44.4931094235,44.6838720404,44.1297520578,44.4204379503,10711984,0.0,1.0
SBUX,2018-07-09 00:00:00+00:00,49.9,50.05,49.21,49.21,12811694,45.3288313644,45.4650903766,44.7020399087,44.7020399087,12811694,0.0,1.0
SBUX,2018-07-10 00:00:00+00:00,50.42,50.51,49.96,50.08,9038021,45.8011959398,45.8829513471,45.3833349693,45.492342179,9038021,0.0,1.0
SBUX,2018-07-11 00:00:00+00:00,50.14,50.48,50.02,50.22,9542401,45.5468457838,45.8556995446,45.4378385741,45.619517257,9542401,0.0,1.0
SBUX,2018-07-12 00:00:00+00:00,50.25,50.66,50.2,50.36,9339200,45.6467690594,46.0192103592,45.6013493887,45.7466923349,9339200,0.0,1.0
SBUX,2018-07-13 00:00:00+00:00,51.62,51.65,50.26,50.26,21720110,46.8912680367,46.9185198392,45.6558529935,45.6558529935,21720110,0.0,1.0
SBUX,2018-07-16 00:00:00+00:00,50.94,51.55,50.69,51.55,16974920,46.2735605151,46.8276804977,46.0464621616,46.8276804977,16974920,0.0,1.0
SBUX,2018-07-17 00:00:00+00:00,51.28,51.3,50.6,50.66,11421330,46.5824142759,46.6005821442,45.9647067543,46.0192103592,11421330,0.0,1.0
SBUX,2018-07-18 00:00:00+00:00,51.15,51.62,51.0,51.34,13549524,46.4643231321,46.8912680367,46.32806412,46.6369178808,13549524,0.0,1.0
SBUX,2018-07-19 00:00:00+00:00,51.34,51.49,51.0,51.11,11415630,46.6369178808,46.7731768929,46.32806412,46.4279873955,11415630,0.0,1.0
SBUX,2018-07-20 00:00:00+00:00,50.91,51.24,50.75,51.06,11033405,46.2463087127,46.5460785394,46.1009657664,46.3825677248,11033405,0.0,1.0
SBUX,2018-07-23 00:00:00+00:00,51.19,51.27,50.76,50.76,8406801,46.5006588687,46.5733303418,46.1100497006,46.1100497006,8406801,0.0,1.0
SBUX,2018-07-24 00:00:00+00:00,51.17,51.72,51.06,51.3,9921586,46.4824910004,46.9821073781,46.3825677248,46.6005821442,9921586,0.0,1.0
SBUX,2018-07-25 00:00:00+00:00,51.62,51.72,51.01,51.01,11370019,46.8912680367,46.9821073781,46.3371480541,46.3371480541,11370019,0.0,1.0
SBUX,2018-07-26 00:00:00+00:00,51.45,51.84,51.34,51.68,11114792,46.7368411563,47.0911145878,46.6369178808,46.9457716416,11114792,0.0,1.0
SBUX,2018-07-27 00:00:00+00:00,52.15,52.6,50.21,51.5,15770270,47.3727165462,47.7814935826,45.6104333228,46.782260827,15770270,0.0,1.0
SBUX,2018-07-30 00:00:00+00:00,51.9,52.85,51.76,52.2,14448359,47.1456181927,48.0085919361,47.0184431147,47.4181362169,14448359,0.0,1.0
SBUX,2018-07-31 00:00:00+00:00,52.39,52.69,51.85,52.03,9228240,47.5907309656,47.8632489898,47.100198522,47.2637093365,9228240,0.0,1.0
SBUX,2018-08-01 00:00:00+00:00,51.93,52.24,51.25,52.24,11952400,47.1728699951,47.4544719535,46.5551624735,47.4544719535,11952400,0.0,1.0
SBUX,2018-08-02 00:00:00+00:00,51.68,52.35,51.43,52.1,13636439,46.9457716416,47.554395229,46.718673288,47.3272968755,13636439,0.0,1.0
SBUX,2018-08-03 00:00:00+00:00,52.23,52.45,51.58,51.7,8246476,47.4453880193,47.6452345704,46.8549323002,46.9639395099,8246476,0.0,1.0
SBUX,2018-08-06 00:00:00+00:00,52.07,52.27,51.8,52.1,6505777,47.3000450731,47.4817237559,47.0547788513,47.3272968755,6505777,0.0,1.0
SBUX,2018-08-07 00:00:00+00:00,52.07,52.21,51.8,52.08,5869803,47.3000450731,47.4272201511,47.0547788513,47.3091290072,5869803,0.0,1.0
SBUX,2018-08-08 00:00:00+00:00,51.55,51.93,51.36,51.83,7258334,47.1547021268,47.5023022589,46.9809020608,47.4108285399,7258334,0.36,1.0
SBUX,2018-08-09 00:00:00+00:00,51.92,52.02,51.32,51.53,7175435,47.493154887,47.584628606,46.9443125732,47.136407383,7175435,0.0,1.0
SBUX,2018-08-10 00:00:00+00:00,51.51,51.63,51.2,51.59,10539692,47.1181126392,47.227881102,46.8345441104,47.1912916144,10539692,0.0,1.0
SBUX,2018-08-13 00:00:00+00:00,51.81,51.96,51.47,51.62,7911311,47.3925337961,47.5297443746,47.0815231517,47.2187337301,7911311,0.0,1.0
SBUX,2018-08-14 00:00:00+00:00,52.59,52.74,51.79,51.85,9385434,48.1060288041,48.2432393825,47.3742390523,47.4291232837,9385434,0.0,1.0
SBUX,2018-08-15 00:00:00+00:00,52.75,52.94,52.3,52.31,9566235,48.2523867544,48.4261868204,47.8407550191,47.849902391,9566235,0.0,1.0
SBUX,2018-08-16 00:00:00+00:00,53.04,53.36,52.92,52.98,8721212,48.5176605394,48.8103764401,48.4078920767,48.462776308,8721212,0.0,1.0
SBUX,2018-08-17 00:00:00+00:00,53.56,53.61,52.95,52.95,8166981,48.993323878,49.0390607375,48.4353341923,48.4353341923,8166981,0.0,1.0
SBUX,2018-08-20 00:00:00+00:00,53.92,54.16,53.7,53.71,9791538,49.3226292663,49.5421661918,49.1213870846,49.1305344565,9791538,0.0,1.0
SBUX,2018-08-21 00:00:00+00:00,54.0,54.44,53.95,54.17,7990040,49.3958082415,49.7982926049,49.350071382,49.5513135637,7990040,0.0,1.0
SBUX,2018-08-22 00:00:00+00:00,52.82,53.64,52.66,53.55,10369620,48.3164183577,49.0665028532,48.1700604073,48.9841765061,10369620,0.0,1.0
SBUX,2018-08-23 00:00:00+00:00,52.66,53.19,52.56,52.76,8567574,48.1700604073,48.6548711179,48.0785866884,48.2615341263,8567574,0.0,1.0
SBUX,2018-08-24 00:00:00+00:00,52.75,52.92,52.42,52.82,9850039,48.2523867544,48.4078920767,47.9505234818,48.3164183577,9850039,0.0,1.0
SBUX,2018-08-27 00:00:00+00:00,52.97,53.18,52.81,52.99,6443156,48.4536289361,48.645723746,48.3072709858,48.4719236799,6443156,0.0,1.0
SBUX,2018-08-28 00:00:00+00:00,53.05,53.47,52.98,53.02,7171873,48.5268079113,48.910997531,48.462776308,48.4993657956,7171873,0.0,1.0
SBUX,2018-08-29 00:00:00+00:00,53.25,53.44,52.72,53.07,6604919,48.7097553492,48.8835554153,48.2249446387,48.5451026551,6604919,0.0,1.0
SBUX,2018-08-30 00:00:00+00:00,53.1,53.41,52.97,53.12,5576425,48.5725447708,48.8561132996,48.4536289361,48.5908395146,5576425,0.0,1.0
SBUX,2018-08-31 00:00:00+00:00,53.45,53.71,52.45,52.46,10892775,48.8927027872,49.1305344565,47.9779655975,47.9871129694,10892775,0.0,1.0
SBUX,2018-09-04 00:00:00+00:00,53.53,53.69,53.21,53.44,8235166,48.9658817623,49.1122397127,48.6731658617,48.8835554153,8235166,0.0,1.0
SBUX,2018-09-05 00:00:00+00:00,53.79,53.98,53.29,53.47,7966579,49.2037134317,49.3775134977,48.7463448368,48.910997531,7966579,0.0,1.0
SBUX,2018-09-06 00:00:00+00:00,54.21,54.35,53.65,53.66,7803422,49.5879030513,49.7159662579,49.0756502251,49.084797597,7803422,0.0,1.0
SBUX,2018-09-07 00:00:00+00:00,54.86,54.96,54.16,54.2,10231692,50.1824822246,50.2739559436,49.5421661918,49.5787556794,10231692,0.0,1.0
SBUX,2018-09-10 00:00:00+00:00,54.97,55.11,54.57,54.94,8621174,50.2831033154,50.411166522,49.9172084396,50.2556611998,8621174,0.0,1.0
SBUX,2018-09-11 00:00:00+00:00,55.12,55.4,54.77,54.83,7873859,50.4203138939,50.676440307,50.1001558775,50.1550401089,7873859,0.0,1.0
SBUX,2018-09-12 00:00:00+00:00,54.97,55.2,54.33,55.2,7297268,50.2831033154,50.4934928691,49.6976715141,50.4934928691,7297268,0.0,1.0
SBUX,2018-09-13 00:00:00+00:00,54.89,55.57,54.74,55.12,8566607,50.2099243403,50.8319456292,50.0727137618,50.4203138939,8566607,0.0,1.0
SBUX,2018-09-14 00:00:00+00:00,54.75,55.0,54.61,55.0,6827670,50.0818611337,50.3105454311,49.9537979272,50.3105454311,6827670,0.0,1.0
SBUX,2018-09-17 00:00:00+00:00,54.57,54.86,54.28,54.7,9277192,49.9172084396,50.1824822246,49.6519346546,50.0361242742,9277192,0.0,1.0
SBUX,2018-09-18 00:00:00+00:00,55.07,55.28,54.1,54.48,7569586,50.3745770344,50.5666718442,49.4872819604,49.8348820925,7569586,0.0,1.0
SBUX,2018-09-19 00:00:00+00:00,55.43,55.79,54.9,55.22,7451644,50.7038824227,51.033187811,50.2190717122,50.5117876129,7451644,0.0,1.0
SBUX,2018-09-20 00:00:00+00:00,56.43,56.73,55.6,55.6,10582603,51.6186196123,51.8930407692,50.8593877449,50.8593877449,10582603,0.0,1.0
SBUX,2018-09-21 00:00:00+00:00,57.45,57.57,56.52,56.55,25800450,52.5516515458,52.6614200086,51.7009459594,51.7283880751,25800450,0.0,1.0
SBUX,2018-09-24 00:00:00+00:00,56.69,57.36,56.58,56.94,10616004,51.8564512817,52.4693251987,51.7558301908,52.0851355791,10616004,0.0,1.0
SBUX,2018-09-25 00:00:00+00:00,56.9,57.29,56.83,56.98,9445481,52.0485460915,52.4052935955,51.9845144882,52.1217250667,9445481,0.0,1.0
SBUX,2018-09-26 00:00:00+00:00,57.27,57.84,56.75,56.77,7757332,52.3869988517,52.9083990498,51.911335513,51.9296302568,7757332,0.0,1.0
SBUX,2018-09-27 00:00:00+00:00,57.34,57.79,57.1,57.1,6606185,52.4510304549,52.8626621903,52.2314935294,52.2314935294,6606185,0.0,1.0
SBUX,2018-09-28 00:00:00+00:00,56.84,57.39,56.78,57.39,8975955,51.9936618601,52.4967673144,51.9387776287,52.4967673144,8975955,0.0,1.0
SBUX,2018-10-01 00:00:00+00:00,55.58,56.95,55.53,56.91,12727584,50.8410930011,52.094282951,50.7953561417,52.0576934634,12727584,0.0,1.0
SBUX,2018-10-02 00:00:00+00:00,55.59,56.01,55.29,55.55,12680838,50.850240373,51.2344299927,50.5758192161,50.8136508855,12680838,0.0,1.0
